               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10195,            0.098467,            0.025819,             0.61289,             0.33333,             0.13328,            0.038151,            0.072484,            0.078644,               0.016,              0.0775,              0.0025,              0.0025
                   1,            0.074493,            0.076159,            0.015827,              0.7412,             0.45417,             0.40284,             0.11723,            0.078234,            0.066452,            0.013733,            0.053999,            0.004999,            0.004999
                   2,            0.075273,            0.064713,            0.015531,             0.69883,              0.3246,             0.29314,              0.1282,            0.064082,            0.061905,            0.012355,            0.030395,           0.0073951,           0.0073951
                   3,            0.072401,            0.065783,             0.01537,             0.72983,             0.28356,             0.44882,             0.25643,            0.066423,            0.066963,            0.011964,            0.009406,            0.009406,            0.009406
                   4,            0.071426,             0.06207,            0.014635,             0.44061,             0.70427,             0.57577,             0.24258,            0.068527,            0.065895,            0.010615,            0.009406,            0.009406,            0.009406
                   5,            0.060948,            0.058835,            0.013361,              0.4232,               0.875,             0.85607,             0.59412,            0.043825,            0.059647,           0.0094833,            0.009208,            0.009208,            0.009208
                   6,            0.049705,            0.058222,            0.012149,             0.69449,             0.76673,             0.90197,             0.50333,            0.031681,            0.044792,           0.0088291,             0.00901,             0.00901,             0.00901
                   7,             0.04135,            0.052789,            0.010976,             0.58891,                0.85,             0.93933,             0.57529,            0.041799,            0.052101,           0.0080858,            0.008812,            0.008812,            0.008812
                   8,            0.042769,            0.056115,            0.010007,             0.66118,             0.96218,             0.95377,             0.56308,            0.031432,            0.043137,           0.0070301,            0.008614,            0.008614,            0.008614
                   9,            0.037803,            0.050348,           0.0086651,             0.72263,                   1,             0.98821,              0.7085,             0.03562,            0.046547,           0.0050363,            0.008416,            0.008416,            0.008416
                  10,            0.036105,            0.053797,           0.0070243,             0.92899,             0.98954,              0.9874,              0.7269,            0.027771,            0.042633,            0.003628,            0.008218,            0.008218,            0.008218
                  11,            0.036984,            0.050859,           0.0054792,             0.99537,                   1,               0.995,             0.59716,            0.022675,             0.03846,           0.0024063,             0.00802,             0.00802,             0.00802
                  12,            0.033636,            0.048867,             0.00466,             0.99024,                   1,               0.995,             0.63334,            0.022424,            0.037224,           0.0021428,            0.007822,            0.007822,            0.007822
                  13,            0.031694,            0.048113,           0.0040954,             0.88868,                   1,             0.95455,             0.66844,            0.031495,            0.045448,           0.0018112,            0.007624,            0.007624,            0.007624
                  14,             0.03086,            0.047663,           0.0035504,             0.98576,             0.99112,               0.995,             0.75759,            0.024793,            0.040901,           0.0018619,            0.007426,            0.007426,            0.007426
                  15,            0.030895,            0.045789,           0.0034308,             0.99361,                   1,               0.995,             0.78129,            0.018405,            0.034576,            0.001842,            0.007228,            0.007228,            0.007228
                  16,            0.030811,            0.044459,           0.0032911,              0.9961,                   1,               0.995,              0.7694,            0.022598,            0.036495,           0.0014999,             0.00703,             0.00703,             0.00703
                  17,            0.029743,              0.0465,            0.002978,              0.9969,                   1,               0.995,             0.82864,            0.017461,            0.033894,           0.0012569,            0.006832,            0.006832,            0.006832
                  18,             0.02682,            0.044361,           0.0024392,             0.99638,                   1,               0.995,             0.84477,            0.017677,            0.034477,           0.0011818,            0.006634,            0.006634,            0.006634
                  19,             0.02548,            0.044772,           0.0031163,             0.99582,             0.99868,               0.995,              0.7959,            0.015945,            0.033348,           0.0011689,            0.006436,            0.006436,            0.006436
                  20,            0.026379,             0.04605,           0.0023639,             0.99583,                   1,               0.995,             0.81266,            0.015971,            0.032627,           0.0011455,            0.006238,            0.006238,            0.006238
                  21,            0.025836,            0.046046,           0.0023147,             0.99538,                   1,               0.995,             0.82101,             0.01744,            0.034222,           0.0011286,             0.00604,             0.00604,             0.00604
                  22,            0.024967,            0.043347,           0.0022497,             0.99572,                   1,               0.995,             0.80058,            0.017793,            0.034027,           0.0010572,            0.005842,            0.005842,            0.005842
                  23,            0.024616,            0.042926,           0.0019317,             0.99611,             0.99932,               0.995,             0.85502,            0.015553,            0.031849,          0.00089245,            0.005644,            0.005644,            0.005644
                  24,            0.024555,            0.043973,            0.001833,             0.99692,                   1,               0.995,             0.84729,            0.016567,            0.033142,          0.00083184,            0.005446,            0.005446,            0.005446
                  25,            0.023809,            0.041096,           0.0020732,             0.99614,                   1,               0.995,              0.8624,            0.014404,            0.031776,          0.00089154,            0.005248,            0.005248,            0.005248
                  26,            0.023542,            0.041633,           0.0017863,             0.99551,                   1,               0.995,             0.85043,             0.01407,            0.031002,          0.00085363,             0.00505,             0.00505,             0.00505
                  27,            0.022512,            0.041167,           0.0017548,             0.99666,                   1,               0.995,             0.84837,            0.014826,            0.031139,          0.00079751,            0.004852,            0.004852,            0.004852
                  28,            0.021949,            0.041212,           0.0017368,             0.99646,                   1,               0.995,             0.83669,            0.015069,            0.031445,          0.00085235,            0.004654,            0.004654,            0.004654
