               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11407,            0.027832,                   0,           0.0018763,             0.33333,           0.0035343,          0.00056629,            0.097847,            0.016829,                   0,              0.0865,              0.0015,              0.0015
                   1,            0.095842,            0.023756,                   0,           0.0018939,             0.55556,            0.018273,            0.003228,            0.081605,            0.014334,                   0,            0.072039,           0.0030386,           0.0030386
                   2,            0.084234,            0.020896,                   0,           0.0047866,             0.73333,             0.11413,             0.04091,             0.07536,            0.011269,                   0,            0.057514,           0.0045139,           0.0045139
                   3,            0.076237,            0.018838,                   0,             0.19875,             0.44444,              0.2532,            0.092381,            0.069889,           0.0099473,                   0,            0.042926,           0.0059258,           0.0059258
                   4,            0.071579,             0.01863,                   0,             0.49386,             0.15556,             0.23128,            0.098655,            0.063749,           0.0099807,                   0,            0.028274,           0.0072743,           0.0072743
                   5,            0.067086,            0.019923,                   0,             0.29965,             0.17778,             0.16486,            0.046976,             0.06781,           0.0089722,                   0,             0.01356,           0.0085595,           0.0085595
                   6,            0.063905,            0.018121,                   0,             0.59562,             0.33333,             0.49986,               0.203,            0.056289,           0.0091505,                   0,            0.008812,            0.008812,            0.008812
                   7,            0.058216,            0.018321,                   0,             0.44112,             0.45616,             0.45429,             0.18417,            0.053788,           0.0090733,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.055164,             0.01716,                   0,             0.36547,             0.48889,             0.32419,             0.10305,            0.057954,            0.008327,                   0,            0.008614,            0.008614,            0.008614
                   9,             0.05325,            0.016516,                   0,             0.72606,             0.46667,             0.60375,             0.23223,            0.055074,           0.0079422,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.049654,             0.01561,                   0,             0.45024,             0.68889,              0.5375,             0.19242,            0.052098,           0.0074835,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.047449,            0.015103,                   0,             0.62685,             0.64444,             0.63804,             0.25489,            0.051853,           0.0068288,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.047289,            0.012523,                   0,              0.8066,             0.62222,             0.70787,             0.23398,            0.053404,           0.0063543,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.046646,            0.013107,                   0,             0.72263,             0.68889,             0.74643,              0.2945,            0.046419,           0.0063267,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.044403,            0.012469,                   0,             0.75929,             0.82222,             0.83569,             0.36986,            0.042803,           0.0061412,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.042748,            0.011902,                   0,             0.73688,             0.73333,             0.78624,             0.33419,            0.044362,           0.0060034,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.040822,            0.011567,                   0,             0.65266,             0.77778,             0.77969,             0.31897,            0.042124,           0.0057645,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.041274,            0.010572,                   0,             0.85509,                 0.8,              0.8747,             0.38313,            0.040591,            0.005497,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.039751,           0.0099586,                   0,             0.92342,             0.82222,             0.89249,             0.41206,            0.040597,            0.005415,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.039435,           0.0098256,                   0,             0.93871,                 0.8,             0.90651,             0.39048,            0.042865,            0.005373,                   0,            0.006436,            0.006436,            0.006436
