               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12185,            0.024908,            0.053092,          0.00041424,             0.13718,          0.00065143,          0.00012803,             0.10002,            0.016555,            0.047322,              0.0874,              0.0014,              0.0014
                   1,             0.10069,            0.022833,            0.044557,          0.00085558,             0.22186,           0.0075176,           0.0015099,            0.085816,            0.014965,            0.039181,            0.073843,           0.0028426,           0.0028426
                   2,            0.088909,            0.020883,            0.036968,              0.8544,            0.056863,            0.020144,           0.0050483,            0.072726,            0.012893,            0.035359,            0.060226,           0.0042258,           0.0042258
                   3,            0.077484,            0.018979,            0.036191,             0.69574,            0.072549,            0.044202,            0.009135,            0.078412,            0.010395,            0.035223,             0.04655,           0.0055495,           0.0055495
                   4,            0.076899,            0.018238,            0.033366,             0.51423,            0.045098,            0.019686,           0.0040958,            0.084539,           0.0091522,            0.034031,            0.032814,           0.0068139,           0.0068139
                   5,            0.072153,            0.017539,            0.035183,               0.706,            0.070588,            0.050652,            0.015329,             0.07446,           0.0095648,             0.03329,            0.019019,           0.0080189,           0.0080189
                   6,            0.067407,            0.017157,            0.035117,             0.88894,            0.078431,            0.070688,            0.016732,            0.074647,           0.0086916,            0.032418,            0.008812,            0.008812,            0.008812
                   7,            0.065549,            0.016537,            0.033164,             0.90345,            0.097059,            0.083768,            0.026373,            0.060602,           0.0097009,            0.029198,            0.008812,            0.008812,            0.008812
                   8,            0.059677,              0.0176,            0.028249,             0.92607,            0.089216,             0.10148,            0.033638,              0.0658,           0.0088941,            0.028479,            0.008614,            0.008614,            0.008614
                   9,            0.059761,             0.01491,            0.027709,             0.90524,            0.093137,            0.094017,            0.030262,            0.057308,           0.0090202,            0.025886,            0.008416,            0.008416,            0.008416
                  10,            0.055433,            0.016162,            0.026843,             0.92097,              0.1109,             0.12649,            0.042184,            0.057366,           0.0087729,            0.023998,            0.008218,            0.008218,            0.008218
                  11,            0.052293,            0.015641,            0.025565,             0.94345,             0.10882,             0.15396,            0.063084,            0.053177,           0.0084119,            0.022155,             0.00802,             0.00802,             0.00802
                  12,              0.0499,            0.015103,            0.025977,               0.617,             0.20369,             0.27277,            0.097619,            0.049405,           0.0082039,            0.021459,            0.007822,            0.007822,            0.007822
                  13,            0.046146,            0.012665,            0.027052,             0.58285,             0.26419,             0.24464,            0.084284,            0.051155,           0.0075984,            0.021833,            0.007624,            0.007624,            0.007624
                  14,            0.044863,            0.013113,            0.023991,             0.66354,             0.30374,             0.29794,             0.15057,            0.046055,           0.0077581,            0.019503,            0.007426,            0.007426,            0.007426
                  15,            0.045345,            0.012767,            0.020892,             0.65144,             0.31496,             0.35171,             0.16737,            0.039633,           0.0075187,            0.018351,            0.007228,            0.007228,            0.007228
                  16,             0.04238,            0.012172,            0.019364,             0.66811,             0.33146,             0.40124,             0.19808,            0.040267,           0.0071444,            0.017682,             0.00703,             0.00703,             0.00703
                  17,            0.039282,            0.011708,            0.020898,             0.84778,             0.33584,             0.41868,             0.21307,            0.036227,           0.0069479,            0.017479,            0.006832,            0.006832,            0.006832
